,Last Name Chi,First Name Chi,Chi Name,Prefix CN,Last Name Eng,First Name Eng,Eng Name,Prefix,Gender,Category,Organization,Year,Award
483,莊,紹樑,莊紹樑博士,博士,CHUANG,Siu-leung,Dr. CHUANG Siu-leung,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Silver Bauhinia Star
484,顧,爾言,顧爾言先生,先生,KOO,Yee-yin,Mr. KOO Yee-yin,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Silver Bauhinia Star
485,吳,炳昌,吳炳昌先生,先生,NG,Ping-cheong,Mr. NG Ping-cheong,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Silver Bauhinia Star
486,楊,善深,楊善深先生,先生,YANG,Shen-sum,Mr. YANG Shen-sum,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Silver Bauhinia Star
487,廖,一原,廖一原先生,先生,LIU,Yat-yuen,Mr. LIU Yat-yuen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Silver Bauhinia Star
488,劉,秀成,劉秀成教授,教授,LAU,Professor  Sau-shing,Professor LAU Sau-shing,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Silver Bauhinia Star
489,韋,徐潔儀,韋徐潔儀女士,女士,WEI,CHUI Kit-yee,Mrs. WEI CHUI Kit-yee,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
490,周,厚澄,周厚澄先生,先生,CHAU,How-chen,Mr. CHAU How-chen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
491,李,乃熺,李乃熺博士,博士,LEE,Nai-shee,Dr. LEE Nai-shee,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
492,李,文彬,李文彬先生,先生,LEE,Man-ban,Mr. LEE Man-ban,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
493,周,一嶽,周一嶽醫生,醫生,CHOW,Yat-ngok,Dr. CHOW Yat-ngok,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
494,林,李靜文,林李靜文女士,女士,LING,LEE Ching-man,Mrs. LING LEE Ching-man,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
495,范,鴻齡,范鴻齡先生,先生,FAN,Hung-ling,Mr. FAN Hung-ling,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
496,倪,少傑,倪少傑先生,先生,NGAI,Shiu-kit,Mr. NGAI Shiu-kit,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
497,梁,湛添,梁湛添先生,先生,LEUNG,Cham-tim,Mr. LEUNG Cham-tim,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
498,湯,比達,湯比達先生,先生,THOMPSON,Peter James,Mr. Peter James THOMPSON,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
499,廖,長城,廖長城先生,先生,LIAO,Cheung-sing,Mr. LIAO Cheung-sing,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
500,薛,明,薛　明先生,先生,SHIPMAN,Nigel Christopher Leslie,Mr. Nigel Christopher Leslie SHIPMAN,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
501,簡,達恆,簡達恆先生,先生,CARSE,David Thomas Rhys,Mr. David Thomas Rhys CARSE,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
502,關,高苕華,關高苕華女士,女士,KWAN,KO Siu-wah,Mrs. KWAN KO Siu-wah,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
503,史,美倫,史美倫女士,女士,CHA,SHIH May-lung,Mrs. CHA SHIH May-lung,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
504,伍,沾德,伍沾德先生,先生,WU,James Tak,Mr. WU James Tak,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
505,徐,國炯,徐國炯先生,先生,ZEE,Kwoh-kung,Mr. ZEE Kwoh-kung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
506,羅,友禮,羅友禮先生,先生,LO,Yau-lai,Mr. LO Yau-lai,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
507,羅,正威,羅正威先生,先生,KOTEWALL,Robert George,Mr. Robert George KOTEWALL,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2001,Silver Bauhinia Star
508,曹,光彪,曹光彪先生,先生,CHAO,Kuang-piu,Mr. CHAO Kuang-piu,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
509,伍,靜國,伍靜國先生,先生,NG,Ching-kwok,Mr. NG Ching-kwok,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
510,許,競平,許競平先生,先生,HSU,King-ping,Mr. HSU King-ping,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
511,張,學明,張學明先生,先生,CHEUNG,Hok-ming,Mr. CHEUNG Hok-ming,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
512,布,培,布　培先生,先生,POPE,Robert Douglas,Mr. Robert Douglas POPE,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
513,岑,才生,岑才生先生,先生,SHUM,Choi-sang,Mr. SHUM Choi-sang,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
514,張,敏儀,張敏儀女士,女士,CHEUNG,Man-yee,Miss CHEUNG Man-yee,Miss,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
515,梁,秉中,梁秉中教授,教授,LEUNG,Professor  Ping-chung,Professor LEUNG Ping-chung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
516,陳,南祿,陳南祿先生,先生,CHEN,Nan-lok,Mr. CHEN Nan-lok,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
517,黃,光漢,黃光漢先生,先生,WONG,Kong-hon,Mr. WONG Kong-hon,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
518,廖,正亮,廖正亮先生,先生,LIU,Ching-leung,Mr. LIU Ching-leung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
519,蔡,元雲,蔡元雲醫生,醫生,CHOI,Yuen-wan,Dr. CHOI Yuen-wan,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
520,鮑,紹雄,鮑紹雄先生,先生,PAU,Shiu-hung,Mr. PAU Shiu-hung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
521,鍾,普洋,鍾普洋先生,先生,CHUNG,Po-yang,Mr. CHUNG Po-yang,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
522,郭,文緯,郭文緯先生,先生,KWOK,Man-wai,Mr. KWOK Man-wai,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
523,余,黎青萍,余黎青萍女士,女士,YU,LAI Ching-ping,Mrs. YU LAI Ching-ping,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
524,林,中麟,林中麟先生,先生,LAM,Chung-lun,Mr. LAM Chung-lun,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
525,韋,基舜,韋基舜先生,先生,WAI,Kee-shun,Mr. WAI Kee-shun,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
526,馬,畋,馬　畋先生,先生,G,Francis . MARTIN,Mr. Francis G. MARTIN,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
527,許,美德,許美德教授,教授,E,Professor Ruth . S. HAYHO,Professor Ruth E. S. HAYHOE,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
528,傅,立新,傅立新牧師,牧師,PHILLIPSON,Reverend Hugh,Reverend Hugh PHILLIPSON,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
529,費,蘇務滋,費蘇務滋女士,女士,FEI,SOO Mo-chi,Mrs. FEI SOO Mo-chi,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
530,黃,健靈,黃健靈教授,教授,WONG,Professor John,Professor John WONG,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
531,劉,玉權,劉玉權先生,先生,LAU,Yuk-kuen,Mr. LAU Yuk-kuen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
532,蔡,德允,蔡德允女士,女士,TSAR,Teh-yun,Ms. TSAR Teh-yun,Ms.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Silver Bauhinia Star
533,陳,彥達,陳彥達先生,先生,CHAN,Yin-tat,Mr. CHAN Yin-tat,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
534,楊,孝華,楊孝華議員,議員,YOUNG,How-wah,YOUNG How-wah,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
535,黃,鴻堅,黃鴻堅先生,先生,WONG,Hung-kin,Mr. WONG Hung-kin,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
536,沈,文燾,沈文燾先生,先生,SHUM,Man-to,Mr. SHUM Man-to,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
537,周,永健,周永健先生,先生,CHOW,Wing-kin,Mr. CHOW Wing-kin,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
538,林,鴻鋆,林鴻鋆博士,博士,LAM,Hung-kwan,Dr. LAM Hung-kwan,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
539,梁,世華,梁世華先生,先生,LEUNG,Sai-wah,Mr. LEUNG Sai-wah,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
540,郭,志權,郭志權博士,博士,KWOK,Philip,Dr. Philip KWOK,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
541,陸,炳泉,陸炳泉先生,先生,LUK,Ping-chuen,Mr. LUK Ping-chuen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
542,黃,子欣,黃子欣先生,先生,WONG,Chi-yun,Mr. WONG Chi-yun,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
543,楊,汝萬,楊汝萬教授,教授,YEUNG,Professor  Yue-man,Professor YEUNG Yue-man,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
544,戴,義安,戴義安教授,教授,DAVIES,Professor William Ian Rees,Professor William Ian Rees DAVIES,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
545,韓,國章,韓國章教授,教授,HODGKISS,Professor Ivor John,Professor Ivor John HODGKISS,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
546,李,道義,李道義先生,先生,LITTLE,David John,Mr. David John LITTLE,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
547,周,潤發,周潤發先生,先生,CHOW,Yun-fat,Mr. CHOW Yun-fat,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
548,林,廣兆,林廣兆先生,先生,LAM,Kwong-siu,Mr. LAM Kwong-siu,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
549,徐,是雄,徐是雄教授,教授,ZEE,Professor  Sze-yong,Professor ZEE Sze-yong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
550,張,佑啟教授,張佑啟工程師教授,工程師,CHEUNG,Ir Professor  Yau-kai,Ir Professor CHEUNG Yau-kai,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
551,陳,達文,陳達文先生,先生,CHEN,Darwin,Mr. Darwin CHEN,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
552,馮,華健,馮華健先生,先生,R,Daniel . FUNG,Mr. Daniel R. FUNG,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
553,鄧,焜,鄧　焜先生,先生,TANG,Kwan,Mr. TANG Kwan,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
554,簡,福飴,簡福飴先生,先生,KAN,Fook-yee,Mr. KAN Fook-yee,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2003,Silver Bauhinia Star
555,丁,午壽,丁午壽議員,議員,TING,Woo-shou,TING Woo-shou,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
556,吳,亮星,吳亮星議員,議員,NG,Leung-sing,NG Leung-sing,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
557,許,長青,許長青議員,議員,HUI,Cheung-ching,HUI Cheung-ching,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
558,劉,炳章,劉炳章議員,議員,LAU,Ping-cheung,LAU Ping-cheung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
559,馬,逢國,馬逢國議員,議員,MA,Fung-kwok,MA Fung-kwok,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
560,鄧,國楨,鄧國楨法官,法官,TANG,Justice  Ching,Mr. Justice TANG Ching,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
561,林,健鋒,林健鋒先生,先生,LAM,Kin-fung,Mr. LAM Kin-fung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
562,麥,清雄,麥清雄先生,先生,MAK,Ching-hung,Mr. MAK Ching-hung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
563,白,仲安,白仲安先生,先生,BUDGE,John Robertson,Mr. John Robertson BUDGE,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
564,林,光宇,林光宇先生,先生,LAM,Kwong-yu,Mr. LAM Kwong-yu,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
565,胡,漢清,胡漢清先生,先生,HOO,Alan,Mr. Alan HOO,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
566,袁,國勇,袁國勇教授,教授,YUEN,Professor  Kwok-yung,Professor YUEN Kwok-yung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
567,梁,君彥,梁君彥先生,先生,LEUNG,Kwan-yuen,Mr. LEUNG Kwan-yuen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
568,許,晉奎,許晉奎先生,先生,HUI,Chun-fui,Mr. HUI Chun-fui,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
569,楊,釗,楊　釗博士,博士,YEUNG,Chun-kam,Dr. YEUNG Chun-kam,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
570,廖,約克,廖約克博士,博士,LIAO,York,Dr. York LIAO,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
571,翟,信賢,翟信賢先生,先生,JACKSON,Christopher Iain Carlyle,Mr. Christopher Iain Carlyle JACKSON,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
572,戴,德豐,戴德豐博士,博士,TAI,Tak-fung,Dr. TAI Tak-fung,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
573,侯,瑞培,侯瑞培先生,先生,HAU,Shui-pui,Mr. HAU Shui-pui,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
574,何,禮泰,何禮泰先生,先生,HUGHES,James Wyndham John -HALLETT,Mr. James Wyndham John HUGHES-HALLETT,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
575,李,歐亞達利,李歐亞達利先生,先生,A,Leo . DLY,Mr. Leo A. DALY,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
576,沈,祖堯,沈祖堯教授,教授,SUNG,Professor  Jao-yiu,Professor SUNG Jao-yiu,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
577,汪,明荃,汪明荃女士,女士,WANG,Ming-chun,Miss WANG Ming-chun,Miss,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2004,Silver Bauhinia Star
578,呂,明華,呂明華議員,議員,LUI,Ming-wah,LUI Ming-wah,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
579,陳,鑑林,陳鑑林議員,議員,CHAN,Kam-lam,CHAN Kam-lam,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
580,林,宣武,林宣武先生,先生,LIN,Sun-mo,Mr. LIN Sun-mo,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
581,陳,家樂,陳家樂先生,先生,CHAN,Kar-lok,Mr. CHAN Kar-lok,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
582,朱,幼麟,朱幼麟先生,先生,CHU,Yu-lin,Mr. CHU Yu-lin,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
583,余,鵬春,余鵬春先生,先生,YU,Pang-chun,Mr. YU Pang-chun,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
584,李,焯芬,李焯芬教授,教授,LEE,Professor  Chack-fan,Professor LEE Chack-fan,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
585,周,文耀,周文耀先生,先生,CHOW,Man-yiu,Mr. CHOW Man-yiu,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
586,香,灼璣,香灼璣先生,先生,HEUNG,Cheuk-kei,Mr. HEUNG Cheuk-kei,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
587,張,達烱,張達烱先生,先生,CHEUNG,Tat-kwing,Mr. CHEUNG Tat-kwing,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
588,梁,建邦,梁建邦先生,先生,LEUNG,Kin-pong,Mr. LEUNG Kin-pong,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
589,梁,家齊,梁家齊先生,先生,LEONG,Ka-chai,Mr. LEONG Ka-chai,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
590,陳,樹鍈,陳樹鍈先生,先生,CHAN,Shu-ying,Mr. CHAN Shu-ying,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
591,楊,家聲,楊家聲先生,先生,YEUNG,Ka-sing,Mr. YEUNG Ka-sing,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
592,霍,震寰,霍震寰先生,先生,FOK,Chun-wan,Mr. FOK Chun-wan,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
593,鍾,沛林,鍾沛林先生,先生,CHUNG,Pui-lam,Mr. CHUNG Pui-lam,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
594,羅,致光,羅致光博士,博士,LAW,Chi-kwong,Dr. LAW Chi-kwong,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
595,羅,樂秉,羅樂秉先生,先生,LAW,Robert John Steen,Mr. Robert John Steen LAW,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
596,包,陪慶,包陪慶教授,教授,PAO,Professor Anna  SOHMEN,Professor Anna PAO SOHMEN,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
597,麥,高義,麥高義教授,教授,COY,Professor Gerard Mc,Professor Gerard McCOY,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Silver Bauhinia Star
598,林,偉強,林偉強議員,議員,LAM,Wai-keung,LAM Wai-keung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
599,何,鍾泰,何鍾泰議員,議員,HO,Chung-tai,HO Chung-tai,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
600,馮,檢基,馮檢基議員,議員,FUNG,Kin-kee,FUNG Kin-kee,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
601,丁,毓珠,丁毓珠女士,女士,TING,Yuk-chee,Ms. TING Yuk-chee,Ms.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
602,吳,仕福,吳仕福先生,先生,NG,Sze-fuk,Mr. NG Sze-fuk,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
603,陳,東,陳　東博士,博士,CHAN,Tung,Dr. CHAN Tung,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
604,葉,國忠,葉國忠先生,先生,IP,Kwok-chung,Mr. IP Kwok-chung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
605,何,永煊,何永煊先生,先生,HO,Wing-huen,Mr. HO Wing-huen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
606,李,子良,李子良先生,先生,LI,Tze-leung,Mr. LI Tze-leung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
607,李,澤培,李澤培先生,先生,LEE,Jark-pui,Mr. LEE Jark-pui,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
608,林,振敏,林振敏先生,先生,LAM,Chun-man,Mr. LAM Chun-man,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
609,林,健枝,林健枝教授,教授,LAM,Professor  Kin-che,Professor LAM Kin-che,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
610,高,贊覺,高贊覺博士,博士,KO,Chan-gock,Dr. KO Chan-gock,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
611,崔,崇堯,崔崇堯博士,博士,TSUI,Ir.   Shung-yiu,Ir. Dr. TSUI Shung-yiu,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
612,曹,德江,曹德江先生,先生,TSAO,Tak-kiang,Mr. TSAO Tak-kiang,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
613,許,雄,許　雄先生,先生,HSU,Hsung,Mr. HSU Hsung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
614,麥,龍詩迪,麥龍詩迪醫生,醫生,MACKAY,Judith Mary Longstaff,Dr. Judith Mary Longstaff MACKAY,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
615,鄔,滿海,鄔滿海先生,先生,WU,Moon-hoi,Mr. WU Moon-hoi,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
616,霍,文,霍　文先生,先生,FOOTMAN,Robert Charles Law,Mr. Robert Charles Law FOOTMAN,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
617,范,上達,范上達教授,教授,FAN,Professor  Sheung-tat,Professor FAN Sheung-tat,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
618,曹,文錦,曹文錦先生,先生,TSAO,Wen-king,Mr. TSAO Wen-king,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Silver Bauhinia Star
619,陳,家強,陳家強議員,議員,CHAN,Ka-keung,CHAN Ka-keung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Silver Bauhinia Star
620,陳,婉嫻,陳婉嫻議員,議員,CHAN,Yuen-han,CHAN Yuen-han,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Silver Bauhinia Star
621,單,仲偕,單仲偕議員,議員,SIN,Chung-kai,SIN Chung-kai,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Silver Bauhinia Star
622,黃,容根,黃容根議員,議員,WONG,Yung-kan,WONG Yung-kan,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Silver Bauhinia Star
